"Datasources","End DateTime","Process Description","Queue DateTime","Start DateTime","Status","Catalog","Category","Classification Name","Column Name","Comments","Confidence score","DB Name","Data-Source Name","Data-Source Type","Data-Source URL","Full Datasource Description","Host","Port","Rule Description","Schema","Service Name","Table Name"
"MS SQL SERVER MSSQL","2024-04-09 15:38:15","	-DemoDiscovery","2024-04-09 15:38:06","2024-04-09 15:38:12","COMPLETED","GDP","GDPR","GDPR","domainName","Date: 2024-04-09 15:38:13
Datasource: MS SQL SERVER 10.221.192.30: 53083 GDP 
Object: GDP.dbo.EventData domainName
Category: 'GDPR' Classification: 'GDPR' Comprehensive: true
Rule: Catalog Search: name
TABLE_TYPE='TABLE', COLUMN_NAME_LIKE='%NAME%'
Action: Add to Group of Objects: Add to GDPR sensitive objects
Add Member Type='NAMEONLY', Replace Group Content='false', Object Group='GDPR Personal Data Sensitive Objects'","","GDP ","MSSQL ","MS SQL SERVER ","jdbc:guardium:sqlserver://10.221.192.30:53083;DatabaseName=GDP;CryptoProtocolVersion=TLSv1,TLSv1.1,TLSv1.2","MSSQL : MS SQL SERVER : 10.221.192.30 :  : GDP : 53083 :","10.221.192.30 ","53083 ","name","dbo","","EventData"
"MS SQL SERVER MSSQL","2024-04-09 15:38:15","	-DemoDiscovery","2024-04-09 15:38:06","2024-04-09 15:38:12","COMPLETED","GDP","GDPR","GDPR","identityHostname","Date: 2024-04-09 15:38:13
Datasource: MS SQL SERVER 10.221.192.30: 53083 GDP 
Object: GDP.dbo.EventData identityHostname
Category: 'GDPR' Classification: 'GDPR' Comprehensive: true
Rule: Catalog Search: name
TABLE_TYPE='TABLE', COLUMN_NAME_LIKE='%NAME%'
Action: Add to Group of Objects: Add to GDPR sensitive objects
Add Member Type='NAMEONLY', Replace Group Content='false', Object Group='GDPR Personal Data Sensitive Objects'","","GDP ","MSSQL ","MS SQL SERVER ","jdbc:guardium:sqlserver://10.221.192.30:53083;DatabaseName=GDP;CryptoProtocolVersion=TLSv1,TLSv1.1,TLSv1.2","MSSQL : MS SQL SERVER : 10.221.192.30 :  : GDP : 53083 :","10.221.192.30 ","53083 ","name","dbo","","EventData"
"MS SQL SERVER MSSQL","2024-04-09 15:38:15","	-DemoDiscovery","2024-04-09 15:38:06","2024-04-09 15:38:12","COMPLETED","GDP","GDPR","GDPR","userName","Date: 2024-04-09 15:38:13
Datasource: MS SQL SERVER 10.221.192.30: 53083 GDP 
Object: GDP.dbo.EventData userName
Category: 'GDPR' Classification: 'GDPR' Comprehensive: true
Rule: Catalog Search: name
TABLE_TYPE='TABLE', COLUMN_NAME_LIKE='%NAME%'
Action: Add to Group of Objects: Add to GDPR sensitive objects
Add Member Type='NAMEONLY', Replace Group Content='false', Object Group='GDPR Personal Data Sensitive Objects'","","GDP ","MSSQL ","MS SQL SERVER ","jdbc:guardium:sqlserver://10.221.192.30:53083;DatabaseName=GDP;CryptoProtocolVersion=TLSv1,TLSv1.1,TLSv1.2","MSSQL : MS SQL SERVER : 10.221.192.30 :  : GDP : 53083 :","10.221.192.30 ","53083 ","name","dbo","","EventData"
"MS SQL SERVER MSSQL","2024-04-09 15:38:15","	-DemoDiscovery","2024-04-09 15:38:06","2024-04-09 15:38:12","COMPLETED","GDP","GDPR","GDPR","eventCollectorName","Date: 2024-04-09 15:38:13
Datasource: MS SQL SERVER 10.221.192.30: 53083 GDP 
Object: GDP.dbo.EventData eventCollectorName
Category: 'GDPR' Classification: 'GDPR' Comprehensive: true
Rule: Catalog Search: name
TABLE_TYPE='TABLE', COLUMN_NAME_LIKE='%NAME%'
Action: Add to Group of Objects: Add to GDPR sensitive objects
Add Member Type='NAMEONLY', Replace Group Content='false', Object Group='GDPR Personal Data Sensitive Objects'","","GDP ","MSSQL ","MS SQL SERVER ","jdbc:guardium:sqlserver://10.221.192.30:53083;DatabaseName=GDP;CryptoProtocolVersion=TLSv1,TLSv1.1,TLSv1.2","MSSQL : MS SQL SERVER : 10.221.192.30 :  : GDP : 53083 :","10.221.192.30 ","53083 ","name","dbo","","EventData"
"MS SQL SERVER MSSQL","2024-04-09 15:38:15","	-DemoDiscovery","2024-04-09 15:38:06","2024-04-09 15:38:12","COMPLETED","GDP","GDPR","GDPR","offenseName","Date: 2024-04-09 15:38:13
Datasource: MS SQL SERVER 10.221.192.30: 53083 GDP 
Object: GDP.dbo.EventData offenseName
Category: 'GDPR' Classification: 'GDPR' Comprehensive: true
Rule: Catalog Search: fname
TABLE_TYPE='TABLE', COLUMN_NAME_LIKE='%F%NAME%'
Action: Add to Group of Objects: Add to GDPR sensitive objects
Add Member Type='NAMEONLY', Replace Group Content='false', Object Group='GDPR Personal Data Sensitive Objects'","","GDP ","MSSQL ","MS SQL SERVER ","jdbc:guardium:sqlserver://10.221.192.30:53083;DatabaseName=GDP;CryptoProtocolVersion=TLSv1,TLSv1.1,TLSv1.2","MSSQL : MS SQL SERVER : 10.221.192.30 :  : GDP : 53083 :","10.221.192.30 ","53083 ","fname","dbo","","EventData"
"MS SQL SERVER MSSQL","2024-04-09 15:38:15","	-DemoDiscovery","2024-04-09 15:38:06","2024-04-09 15:38:12","COMPLETED","GDP","GDPR","GDPR","protocolName","Date: 2024-04-09 15:38:13
Datasource: MS SQL SERVER 10.221.192.30: 53083 GDP 
Object: GDP.dbo.EventData protocolName
Category: 'GDPR' Classification: 'GDPR' Comprehensive: true
Rule: Catalog Search: lname
TABLE_TYPE='TABLE', COLUMN_NAME_LIKE='%L%NAME%'
Action: Add to Group of Objects: Add to GDPR sensitive objects
Add Member Type='NAMEONLY', Replace Group Content='false', Object Group='GDPR Personal Data Sensitive Objects'","","GDP ","MSSQL ","MS SQL SERVER ","jdbc:guardium:sqlserver://10.221.192.30:53083;DatabaseName=GDP;CryptoProtocolVersion=TLSv1,TLSv1.1,TLSv1.2","MSSQL : MS SQL SERVER : 10.221.192.30 :  : GDP : 53083 :","10.221.192.30 ","53083 ","lname","dbo","","EventData"
"MS SQL SERVER MSSQL","2024-04-09 15:38:15","	-DemoDiscovery","2024-04-09 15:38:06","2024-04-09 15:38:12","COMPLETED","GDP","GDPR","GDPR","eventCollectorName","Date: 2024-04-09 15:38:13
Datasource: MS SQL SERVER 10.221.192.30: 53083 GDP 
Object: GDP.dbo.EventData eventCollectorName
Category: 'GDPR' Classification: 'GDPR' Comprehensive: true
Rule: Catalog Search: lname
TABLE_TYPE='TABLE', COLUMN_NAME_LIKE='%L%NAME%'
Action: Add to Group of Objects: Add to GDPR sensitive objects
Add Member Type='NAMEONLY', Replace Group Content='false', Object Group='GDPR Personal Data Sensitive Objects'","","GDP ","MSSQL ","MS SQL SERVER ","jdbc:guardium:sqlserver://10.221.192.30:53083;DatabaseName=GDP;CryptoProtocolVersion=TLSv1,TLSv1.1,TLSv1.2","MSSQL : MS SQL SERVER : 10.221.192.30 :  : GDP : 53083 :","10.221.192.30 ","53083 ","lname","dbo","","EventData"
"MS SQL SERVER MSSQL","2024-04-09 15:38:15","	-DemoDiscovery","2024-04-09 15:38:06","2024-04-09 15:38:12","COMPLETED","GDP","GDPR","GDPR","sourcMACAddress","Date: 2024-04-09 15:38:13
Datasource: MS SQL SERVER 10.221.192.30: 53083 GDP 
Object: GDP.dbo.EventData sourcMACAddress
Category: 'GDPR' Classification: 'GDPR' Comprehensive: true
Rule: Catalog Search: addr
TABLE_TYPE='TABLE', COLUMN_NAME_LIKE='%ADDR%'
Action: Add to Group of Objects: Add to GDPR sensitive objects
Add Member Type='NAMEONLY', Replace Group Content='false', Object Group='GDPR Personal Data Sensitive Objects'","","GDP ","MSSQL ","MS SQL SERVER ","jdbc:guardium:sqlserver://10.221.192.30:53083;DatabaseName=GDP;CryptoProtocolVersion=TLSv1,TLSv1.1,TLSv1.2","MSSQL : MS SQL SERVER : 10.221.192.30 :  : GDP : 53083 :","10.221.192.30 ","53083 ","addr","dbo","","EventData"
"MS SQL SERVER MSSQL","2024-04-09 15:38:15","	-DemoDiscovery","2024-04-09 15:38:06","2024-04-09 15:38:12","COMPLETED","GDP","GDPR","GDPR","destinationMACAddress","Date: 2024-04-09 15:38:13
Datasource: MS SQL SERVER 10.221.192.30: 53083 GDP 
Object: GDP.dbo.EventData destinationMACAddress
Category: 'GDPR' Classification: 'GDPR' Comprehensive: true
Rule: Catalog Search: addr
TABLE_TYPE='TABLE', COLUMN_NAME_LIKE='%ADDR%'
Action: Add to Group of Objects: Add to GDPR sensitive objects
Add Member Type='NAMEONLY', Replace Group Content='false', Object Group='GDPR Personal Data Sensitive Objects'","","GDP ","MSSQL ","MS SQL SERVER ","jdbc:guardium:sqlserver://10.221.192.30:53083;DatabaseName=GDP;CryptoProtocolVersion=TLSv1,TLSv1.1,TLSv1.2","MSSQL : MS SQL SERVER : 10.221.192.30 :  : GDP : 53083 :","10.221.192.30 ","53083 ","addr","dbo","","EventData"
"MS SQL SERVER MSSQL","2024-04-09 15:38:15","	-DemoDiscovery","2024-04-09 15:38:06","2024-04-09 15:38:12","COMPLETED","GDP","GDPR","GDPR","qid","Date: 2024-04-09 15:38:13
Datasource: MS SQL SERVER 10.221.192.30: 53083 GDP 
Object: GDP.dbo.EventData qid
Category: 'GDPR' Classification: 'GDPR' Comprehensive: true
Rule: Search For Data: -democustom
TABLE_TYPE='TABLE', DATA_TYPE='NUMBER,TEXT', SEARCH_VALUE_PATTERN='^[0-8][0-9]{2}[- ]?[0-9][1-9][- ]?[0-9]{4}[ ]{0,20}$', SKIP_EMPTY_NULL='false', SHOW_UNIQUE_VALUES='false', CONFIDENCE_SCORE='false'
Action: Add to Group of Objects: -add to gdpr itself
Add Member Type='NAMEONLY', Replace Group Content='false', Object Group='GDPR Personal Data Sensitive Objects'","","GDP ","MSSQL ","MS SQL SERVER ","jdbc:guardium:sqlserver://10.221.192.30:53083;DatabaseName=GDP;CryptoProtocolVersion=TLSv1,TLSv1.1,TLSv1.2","MSSQL : MS SQL SERVER : 10.221.192.30 :  : GDP : 53083 :","10.221.192.30 ","53083 ","	-democustom","dbo","","EventData"
"MS SQL SERVER MSSQL","2024-04-09 15:38:15","	-DemoDiscovery","2024-04-09 15:38:06","2024-04-09 15:38:12","COMPLETED","GDP","GDPR","GDPR","Storage Time","Date: 2024-04-09 15:38:13
Datasource: MS SQL SERVER 10.221.192.30: 53083 GDP 
Object: GDP.dbo.events Storage Time
Category: 'GDPR' Classification: 'GDPR' Comprehensive: true
Rule: Catalog Search: age
TABLE_TYPE='TABLE', COLUMN_NAME_LIKE='%AGE%'
Action: Add to Group of Objects: Add to GDPR sensitive objects
Add Member Type='NAMEONLY', Replace Group Content='false', Object Group='GDPR Personal Data Sensitive Objects'","","GDP ","MSSQL ","MS SQL SERVER ","jdbc:guardium:sqlserver://10.221.192.30:53083;DatabaseName=GDP;CryptoProtocolVersion=TLSv1,TLSv1.1,TLSv1.2","MSSQL : MS SQL SERVER : 10.221.192.30 :  : GDP : 53083 :","10.221.192.30 ","53083 ","age","dbo","","events"
"MS SQL SERVER MSSQL","2024-04-09 15:38:15","	-DemoDiscovery","2024-04-09 15:38:06","2024-04-09 15:38:12","COMPLETED","GDP","GDPR","GDPR","Storage Date","Date: 2024-04-09 15:38:13
Datasource: MS SQL SERVER 10.221.192.30: 53083 GDP 
Object: GDP.dbo.events Storage Date
Category: 'GDPR' Classification: 'GDPR' Comprehensive: true
Rule: Catalog Search: age
TABLE_TYPE='TABLE', COLUMN_NAME_LIKE='%AGE%'
Action: Add to Group of Objects: Add to GDPR sensitive objects
Add Member Type='NAMEONLY', Replace Group Content='false', Object Group='GDPR Personal Data Sensitive Objects'","","GDP ","MSSQL ","MS SQL SERVER ","jdbc:guardium:sqlserver://10.221.192.30:53083;DatabaseName=GDP;CryptoProtocolVersion=TLSv1,TLSv1.1,TLSv1.2","MSSQL : MS SQL SERVER : 10.221.192.30 :  : GDP : 53083 :","10.221.192.30 ","53083 ","age","dbo","","events"
"MS SQL SERVER MSSQL","2024-04-09 15:38:15","	-DemoDiscovery","2024-04-09 15:38:06","2024-04-09 15:38:12","COMPLETED","GDP","GDPR","GDPR","CPU_Usage (custom)","Date: 2024-04-09 15:38:13
Datasource: MS SQL SERVER 10.221.192.30: 53083 GDP 
Object: GDP.dbo.events CPU_Usage (custom)
Category: 'GDPR' Classification: 'GDPR' Comprehensive: true
Rule: Catalog Search: age
TABLE_TYPE='TABLE', COLUMN_NAME_LIKE='%AGE%'
Action: Add to Group of Objects: Add to GDPR sensitive objects
Add Member Type='NAMEONLY', Replace Group Content='false', Object Group='GDPR Personal Data Sensitive Objects'","","GDP ","MSSQL ","MS SQL SERVER ","jdbc:guardium:sqlserver://10.221.192.30:53083;DatabaseName=GDP;CryptoProtocolVersion=TLSv1,TLSv1.1,TLSv1.2","MSSQL : MS SQL SERVER : 10.221.192.30 :  : GDP : 53083 :","10.221.192.30 ","53083 ","age","dbo","","events"
"MS SQL SERVER MSSQL","2024-04-09 15:38:15","	-DemoDiscovery","2024-04-09 15:38:06","2024-04-09 15:38:12","COMPLETED","GDP","GDPR","GDPR","EC Image (custom)","Date: 2024-04-09 15:38:13
Datasource: MS SQL SERVER 10.221.192.30: 53083 GDP 
Object: GDP.dbo.events EC Image (custom)
Category: 'GDPR' Classification: 'GDPR' Comprehensive: true
Rule: Catalog Search: age
TABLE_TYPE='TABLE', COLUMN_NAME_LIKE='%AGE%'
Action: Add to Group of Objects: Add to GDPR sensitive objects
Add Member Type='NAMEONLY', Replace Group Content='false', Object Group='GDPR Personal Data Sensitive Objects'","","GDP ","MSSQL ","MS SQL SERVER ","jdbc:guardium:sqlserver://10.221.192.30:53083;DatabaseName=GDP;CryptoProtocolVersion=TLSv1,TLSv1.1,TLSv1.2","MSSQL : MS SQL SERVER : 10.221.192.30 :  : GDP : 53083 :","10.221.192.30 ","53083 ","age","dbo","","events"
"MS SQL SERVER MSSQL","2024-04-09 15:38:15","	-DemoDiscovery","2024-04-09 15:38:06","2024-04-09 15:38:12","COMPLETED","GDP","GDPR","GDPR","EC ImageName (custom)","Date: 2024-04-09 15:38:13
Datasource: MS SQL SERVER 10.221.192.30: 53083 GDP 
Object: GDP.dbo.events EC ImageName (custom)
Category: 'GDPR' Classification: 'GDPR' Comprehensive: true
Rule: Catalog Search: age
TABLE_TYPE='TABLE', COLUMN_NAME_LIKE='%AGE%'
Action: Add to Group of Objects: Add to GDPR sensitive objects
Add Member Type='NAMEONLY', Replace Group Content='false', Object Group='GDPR Personal Data Sensitive Objects'","","GDP ","MSSQL ","MS SQL SERVER ","jdbc:guardium:sqlserver://10.221.192.30:53083;DatabaseName=GDP;CryptoProtocolVersion=TLSv1,TLSv1.1,TLSv1.2","MSSQL : MS SQL SERVER : 10.221.192.30 :  : GDP : 53083 :","10.221.192.30 ","53083 ","age","dbo","","events"
"MS SQL SERVER MSSQL","2024-04-09 15:38:15","	-DemoDiscovery","2024-04-09 15:38:06","2024-04-09 15:38:12","COMPLETED","GDP","GDPR","GDPR","EC ImageTempPath (custom)","Date: 2024-04-09 15:38:13
Datasource: MS SQL SERVER 10.221.192.30: 53083 GDP 
Object: GDP.dbo.events EC ImageTempPath (custom)
Category: 'GDPR' Classification: 'GDPR' Comprehensive: true
Rule: Catalog Search: age
TABLE_TYPE='TABLE', COLUMN_NAME_LIKE='%AGE%'
Action: Add to Group of Objects: Add to GDPR sensitive objects
Add Member Type='NAMEONLY', Replace Group Content='false', Object Group='GDPR Personal Data Sensitive Objects'","","GDP ","MSSQL ","MS SQL SERVER ","jdbc:guardium:sqlserver://10.221.192.30:53083;DatabaseName=GDP;CryptoProtocolVersion=TLSv1,TLSv1.1,TLSv1.2","MSSQL : MS SQL SERVER : 10.221.192.30 :  : GDP : 53083 :","10.221.192.30 ","53083 ","age","dbo","","events"
"MS SQL SERVER MSSQL","2024-04-09 15:38:15","	-DemoDiscovery","2024-04-09 15:38:06","2024-04-09 15:38:12","COMPLETED","GDP","GDPR","GDPR","EC ParentImage (custom)","Date: 2024-04-09 15:38:13
Datasource: MS SQL SERVER 10.221.192.30: 53083 GDP 
Object: GDP.dbo.events EC ParentImage (custom)
Category: 'GDPR' Classification: 'GDPR' Comprehensive: true
Rule: Catalog Search: age
TABLE_TYPE='TABLE', COLUMN_NAME_LIKE='%AGE%'
Action: Add to Group of Objects: Add to GDPR sensitive objects
Add Member Type='NAMEONLY', Replace Group Content='false', Object Group='GDPR Personal Data Sensitive Objects'","","GDP ","MSSQL ","MS SQL SERVER ","jdbc:guardium:sqlserver://10.221.192.30:53083;DatabaseName=GDP;CryptoProtocolVersion=TLSv1,TLSv1.1,TLSv1.2","MSSQL : MS SQL SERVER : 10.221.192.30 :  : GDP : 53083 :","10.221.192.30 ","53083 ","age","dbo","","events"
"MS SQL SERVER MSSQL","2024-04-09 15:38:15","	-DemoDiscovery","2024-04-09 15:38:06","2024-04-09 15:38:12","COMPLETED","GDP","GDPR","GDPR","EC ParentImageName (custom)","Date: 2024-04-09 15:38:13
Datasource: MS SQL SERVER 10.221.192.30: 53083 GDP 
Object: GDP.dbo.events EC ParentImageName (custom)
Category: 'GDPR' Classification: 'GDPR' Comprehensive: true
Rule: Catalog Search: age
TABLE_TYPE='TABLE', COLUMN_NAME_LIKE='%AGE%'
Action: Add to Group of Objects: Add to GDPR sensitive objects
Add Member Type='NAMEONLY', Replace Group Content='false', Object Group='GDPR Personal Data Sensitive Objects'","","GDP ","MSSQL ","MS SQL SERVER ","jdbc:guardium:sqlserver://10.221.192.30:53083;DatabaseName=GDP;CryptoProtocolVersion=TLSv1,TLSv1.1,TLSv1.2","MSSQL : MS SQL SERVER : 10.221.192.30 :  : GDP : 53083 :","10.221.192.30 ","53083 ","age","dbo","","events"
